"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"MBTF","M B T Financial Corp","8","$182.12M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mbtf",
"MTB","M&T Bank Corporation","107.82","$17.15B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mtb",
"MTB.WS","M&T Bank Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mtb.ws",
"MTB^","M&T Bank Corporation","1025","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mtb^",
"MTB^C","M&T Bank Corporation","1032","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mtb^c",
"MDC","M.D.C. Holdings, Inc.","23.37","$1.14B","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/mdc",
"MTSI","M/A-COM Technology Solutions Holdings, Inc.","40.99","$2.18B","2012","Technology","Semiconductors","http://www.nasdaq.com/symbol/mtsi",
"MHO","M/I Homes, Inc.","18.25","$449.95M","1993","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/mho",
"MHO^A","M/I Homes, Inc.","24.9435","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mho^a",
"MCBC","Macatawa Bank Corporation","6.2","$210.34M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mcbc",
"MAC","Macerich Company (The)","78.17","$11.66B","1994","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mac",
"CLI","Mack-Cali Realty Corporation","21.19","$1.9B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cli",
"MFNC","Mackinac Financial Corporation","10.7699","$66.96M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mfnc",
"MGU","Macquarie Global Infrastructure Total Return Fund Inc.","19.3","$240.64M","2005","n/a","n/a","http://www.nasdaq.com/symbol/mgu",
"MIC","Macquarie Infrastructure Company","62.16","$4.98B","2004","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/mic",
"MFD","Macquarie/First Trust Global","11.9001","$101.55M","2004","n/a","n/a","http://www.nasdaq.com/symbol/mfd",
"BMA","Macro Bank Inc.","65.7","$3.84B","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bma",
"MCUR","MACROCURE LTD.","0.99","$16.89M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/mcur",
